itemCode,製品名:和名,製造販売元,経済課コード,リスク区分等,成分名
,ゴキジェットプロ秒殺＋まちぶせ(販売名:ゴキジェットD1),アース製薬（株）,734L00A00552,第2類,
,サラテクトFA,アース製薬（株）,733L00A00071,第2類,
,サラテクトミスト　リッチリッチ30,アース製薬（株）,733M00A00248,第2類,
,サラテクト　リッチリッチ30,アース製薬（株）,733L00A00290,第2類,
,ダニアースレッド(販売名:ダニアースレッドM1),アース製薬（株）,734Z00A10281,第2類,
,ダニアースレッドノンスモーク霧タイプマンション・アパート用(販売名:アースレッドノンスモークM),アース製薬（株）,734L00A10265,第2類,
,バポナ殺虫プレート,アース製薬（株）,734Z03A01638,第1類,
,バポナハーフ殺虫プレート,アース製薬（株）,734Z03A00626,第1類,
,バポナミニ殺虫プレート,アース製薬（株）,734Z03A01639,第1類,
,ウオノメバンA,阿蘇製薬（株）,266Z00A00468,第2類,
,ウオノメバンF,阿蘇製薬（株）,266P00D00836,第2類,
,エースバン〈クリスタル透明〉(販売名:,阿蘇製薬（株）,262Z00A00202,第3類,
,エースバンGC),,,,
,エースバン〈半透明〉(販売名:エースバンGC),阿蘇製薬（株）,262Z00A00202,第3類,
,コーンプラスターワンタッチ,阿蘇製薬（株）,266P00D01037,第2類,
,デルコ(販売名:デルコS),阿蘇製薬（株）,266Z00D00469,第2類,
,リバユニテープA,阿蘇製薬（株）,262Z00D00301,第3類,
,内服ボラギノールEP,天藤製薬（株）,255B00A00588,第2類,
,ボラギノールA坐剤,天藤製薬（株）,255Q00A00093,指定第2類,
,ボラギノールA注入軟膏,天藤製薬（株）,255N00A00713,指定第2類,
,ボラギノールA軟膏,天藤製薬（株）,255N00A00092,指定第2類,
,ボラギノールM坐剤,天藤製薬（株）,255Q00A00095,第2類,
,ボラギノールM軟膏,天藤製薬（株）,255N00A00094,第2類,
,雨森無二膏,（有）雨森敬太郎薬房,264P00D02087,第2類,
,カイベールC,（株）アラクス,235C00A00183,指定第2類,
,カフェクール500,（株）アラクス,115B00A00085,第3類,
,小中学生用ノーシンピュア,（株）アラクス,114C02A10001,指定第2類,
drug-pony:10763105,セイドーA,（株）アラクス,231C00A10003,第2類,
,ノーシン,（株）アラクス,114B03A00003,指定第2類,
,ノーシンAc,（株）アラクス,114C02A10005,第2類,
,ノーシンアイ頭痛薬,（株）アラクス,114C00A00334,指定第2類,
,ノーシンエフ200,（株）アラクス,114D00A00135,指定第2類,
,ノーシン「細粒」,（株）アラクス,114B00A00028,指定第2類,
,ノーシン錠,（株）アラクス,114C03A00005,指定第2類,
,ノーシンピュア,（株）アラクス,114C00A00151,指定第2類,
,ノーシンホワイト〈細粒〉,（株）アラクス,114B00A00012,指定第2類,
,ノーシンホワイト錠,（株）アラクス,114C00A00011,指定第2類,
,ハイタミン錠,（株）アラクス,114C00A00043,指定第2類,
,赤玉神教丸,有川製薬（株）,233R01D00935,第3類,
,有川神教丸,有川製薬（株）,231R00D00934,第2類,
,宮川六神丸,有川製薬（株）,211R00D01126,第2類,
,新処赤玉千龍丸,（有）有川製薬所,231R00A01019,第2類,
,エサヘパンS,アルフレッサファーマ（株）,218D70A00038,第3類,
,紫雲膏チューブ,アルフレッサファーマ（株）,520N00D01762,第2類,
,シンプトップ,アルフレッサファーマ（株）,218D70A00014,第3類,
,ノチラック,アルフレッサファーマ（株）,218D70A00032,第3類,
,アルボナースPRO,（株）アルボース,261M00A00601,第3類,
,アルボナースPROジェル,（株）アルボース,261M00A00321,第3類,
,アロエ製薬便秘錠,アロエ製薬（株）,235C00D00162,第2類,
drug-pony:10764870,間宮アロエ軟膏a,アロエ製薬（株）,262N00D10109,第3類,
,ネオシーダー,（株）アンターク本舗,224Z00A02584,指定第2類,
,アスタシオンAG点鼻薬,池尻製薬（株）,132M00A00369,第2類,
,オリール浣腸30,池尻製薬（株）,235M01A10038,第2類,
,オリール浣腸40,池尻製薬（株）,235M00A10047,第2類,
,グローアルファAG,池尻製薬（株）,132M00A00370,第2類,
,サニフィックノドスプレー,池尻製薬（株）,279M00B00375,第3類,
,スローティ,池尻製薬（株）,279M00A00492,第3類,
,のどスプレーモダンダッシュ,池尻製薬（株）,279M00A00505,第3類,
,鼻炎スプレーN,池尻製薬（株）,132M00A10028,第2類,
,フルルミンのどスプレー,池尻製薬（株）,279M00A00606,第3類,
,ベルダサポートAG点鼻薬,池尻製薬（株）,132M00A00368,第2類,
,マキエース,池尻製薬（株）,261M00A00023,第2類,
,アセムヒEX,（株）池田模範堂,264N00A00286,指定第2類,
drug-pony:10016396,液体ムヒS2a,（株）池田模範堂,264M00A00454,指定第2類,
drug-pony:10016366,液体ムヒアルファEX,（株）池田模範堂,264M00A10118,指定第2類,
drug-pony:10016395,液体ムヒベビー,（株）池田模範堂,264M00A00239,第3類,
,テレスHiクリームS,（株）池田模範堂,264N01A10014,指定第2類,
,テレスHi軟膏S,（株）池田模範堂,264N01A10015,指定第2類,
drug-pony:10764894,デリケアb,（株）池田模範堂,264N00A00142,第3類,
drug-pony:10151683,デリケアM's(販売名:デリケアエムズ),（株）池田模範堂,264N00A00722,第3類,
,ヒビケアFT軟膏(販売名:ヒビケアFT),（株）池田模範堂,269N01A00639,第3類,
,ヒビケア軟膏a,（株）池田模範堂,269N00A00524,第3類,
,ヒリギレ軟膏,（株）池田模範堂,269N00A00026,第3類,
,ポケムヒS,（株）池田模範堂,264M00A10123,第3類,
drug-pony:10767329,ムヒHD(販売名:ムヒエイチディ),（株）池田模範堂,264M01A00103,指定第2類,
drug-pony:10756748,ムヒHDm,（株）池田模範堂,264M00A10053,指定第2類,
drug-pony:10767334,ムヒS,（株）池田模範堂,264N00A00890,第3類,
drug-pony:10767332,ムヒアルファEX,（株）池田模範堂,264N00A00957,指定第2類,
drug-pony:10767333,ムヒアルファSⅡ,（株）池田模範堂,264N01A00572,指定第2類,
drug-pony:10764507,ムヒソフトGX,（株）池田模範堂,264N02A00485,第3類,
,ムヒソフトGX乳状液,（株）池田模範堂,264N01A00240,第3類,
,ムヒのきず液,（株）池田模範堂,261M00A00026,第3類,
,ムヒの虫よけムシペールPS,（株）池田模範堂,733L00A00613,第2類,
,ムヒの虫よけムシペールPS30,（株）池田模範堂,733L00A00301,第2類,
,ムヒの虫よけムシペールα,（株）池田模範堂,733M00A00612,第2類,
,ムヒの虫よけムシペールα30,（株）池田模範堂,733M00A00267,第2類,
,ムヒ・ベビーb,（株）池田模範堂,264N00A00141,第3類,
,アオゾラのどスプレー,池田薬品工業（株）,279M00B00696,第3類,
,胃養丸,池田薬品工業（株）,233R00D00253,第3類,
,カイゲンAZのどスプレー,池田薬品工業（株）,279M00A00261,第3類,
,カイゲンのどスプレー,池田薬品工業（株）,279M00A01446,第3類,
,かぜえがお錠S,池田薬品工業（株）,118C00B00085,指定第2類,
,クリームワームS,池田薬品工業（株）,264N00B00058,第2類,
,ジェントルスロートAZ,池田薬品工業（株）,279M00A00262,第3類,
,スロナースのどスプレー,池田薬品工業（株）,279M00A00526,第3類,
,スロパールのどスプレー,池田薬品工業（株）,279M00A00260,第3類,
,せきえがお,池田薬品工業（株）,222B00B00232,指定第2類,
,ナチュラルハンド20DX,池田薬品工業（株）,266N00A00572,第3類,
,ノーチカA,池田薬品工業（株）,114B00B03353,指定第2類,
,ノーチカ錠S,池田薬品工業（株）,114C01B00062,指定第2類,
,ワーム,池田薬品工業（株）,262N00B01180,第2類,
,ワムナールDX,池田薬品工業（株）,266N00A00479,第3類,
,ワムナールDXⅡ,池田薬品工業（株）,266N00A00571,第3類,
,ワムナールEX,池田薬品工業（株）,266N01A00026,第3類,
,ワムナールプラス20,池田薬品工業（株）,266N00A00253,第3類,
,イスクラ温胆湯エキス顆粒,イスクラ産業（株）,520B01A00687,第2類,
,イスクラ衛益顆粒S,イスクラ産業（株）,590B00A00651,第2類,
,イスクラ開気丸,イスクラ産業（株）,590R00A00497,第2類,
,イスクラ華陀膏,イスクラ産業（株）,265N00A10021,第2類,
,イスクラ冠元顆粒,イスクラ産業（株）,590B00A00359,第2類,
,イスクラ健胃顆粒S,イスクラ産業（株）,590B00A00655,第2類,
,イスクラ健脾散エキス顆粒,イスクラ産業（株）,520B03A00657,第2類,
,イスクラ杞菊地黄丸,イスクラ産業（株）,520R00A00496,第2類,
,イスクラ参茸補血丸,イスクラ産業（株）,590R00A00514,第2類,
,イスクラ酸棗仁湯顆粒,イスクラ産業（株）,520B00A00740,第2類,
,イスクラ瀉火補腎丸,イスクラ産業（株）,520R02A00011,第2類,
,イスクラ瀉火利湿顆粒,イスクラ産業（株）,520B03A00513,第2類,
,イスクラ勝湿顆粒,イスクラ産業（株）,520B02A00678,第2類,
,イスクラ逍遙顆粒,イスクラ産業（株）,520B02A00166,第2類,
,イスクラ逍遙丸,イスクラ産業（株）,520R00A00461,第2類,
,イスクラ浸膏槐角丸,イスクラ産業（株）,590R00A00478,第2類,
,イスクラ心脾顆粒,イスクラ産業（株）,590B00A00414,第2類,
,イスクラ参馬補腎丸,イスクラ産業（株）,329R00A00510,第2類,
,イスクラ清営顆粒,イスクラ産業（株）,235B00A10022,第2類,
,イスクラ双料杞菊顆粒,イスクラ産業（株）,520B01A00413,第2類,
,イスクラ双料参茸丸,イスクラ産業（株）,590R00A00511,第2類,
,イスクラ頂調顆粒,イスクラ産業（株）,520B03A00830,第2類,
,イスクラ天津感冒片,イスクラ産業（株）,590C00A00469,第2類,
,イスクラ天王補心丹T,イスクラ産業（株）,590R00A00331,第2類,
,イスクラ独歩顆粒,イスクラ産業（株）,590B00A00404,第2類,
,イスクラ八仙丸,イスクラ産業（株）,520R00A00097,第2類,
,イスクラ麦味参顆粒,イスクラ産業（株）,329B00A00506,第3類,
,イスクラ婦宝当帰膠B,イスクラ産業（株）,590E00A00032,第2類,
,イスクラ平喘顆粒,イスクラ産業（株）,520B01A00685,第2類,
,イスクラ補中丸T,イスクラ産業（株）,590R00A00330,第2類,
,イスクラ麻杏止咳顆粒S,イスクラ産業（株）,590B00A00654,指定第2類,
,イスクラ涼解楽,イスクラ産業（株）,590B00A00512,第2類,
,イヅミ正露丸,和泉薬品工業（株）,231R00D10029,第2類,
,イノターゼ胃腸液,伊丹製薬（株）,233E01A10004,第3類,
,イノターゼ内服液G,伊丹製薬（株）,233E02A10005,第3類,
,ウット,伊丹製薬（株）,112C00D01909,指定第2類,
,コールトップB液,伊丹製薬（株）,224E01A00010,指定第2類,
,コールトップ液GK「小児用」,伊丹製薬（株）,118E01A10021,指定第2類,
,小児用新コールトップ液A,伊丹製薬（株）,118E03A00007,指定第2類,
,小児用新コールトップ液K,伊丹製薬（株）,118E00A00127,指定第2類,
,小児用新コールトップ液「プラス」,伊丹製薬（株）,118E00A10032,指定第2類,
,小児用ロイム液,伊丹製薬（株）,118E00A00021,指定第2類,
,新コアラドリンク,伊丹製薬（株）,329E00A00998,第3類,
,新バイトゴールド2000,伊丹製薬（株）,329E00A00987,第3類,
,新バイトゴールド3000,伊丹製薬（株）,329E00A00992,第3類,
,新ビスノールカプセル,伊丹製薬（株）,231D00A01569,第2類,
,新ビタアリンドリンクⅡ,伊丹製薬（株）,329E00A00988,第3類,
,スカイラブソフト,伊丹製薬（株）,133C00D00027,第2類,
,スローソフト,伊丹製薬（株）,133C00D00030,第2類,
,バイトローヤル・SG,伊丹製薬（株）,317E01A00673,第3類,
,ビタアリンドリンクⅡ,伊丹製薬（株）,329E00A00997,第3類,
,ビワ湖浣腸10,伊丹製薬（株）,235M00D00577,第2類,
,ビワ湖浣腸20,伊丹製薬（株）,235M00D00576,第2類,
,ビワ湖浣腸30,伊丹製薬（株）,235M00D00575,第2類,
,ビワ湖浣腸40,伊丹製薬（株）,235M00A00011,第2類,
,ヘパバイト,伊丹製薬（株）,317E00A00108,第3類,
,ランスミンC,伊丹製薬（株）,314C04A10006,第3類,
,ランスミンE300,伊丹製薬（株）,315D00D00020,第3類,
,ワンダーランド「小児用」,伊丹製薬（株）,118E01A00023,指定第2類,
,一元乃錠剤牛車腎気丸,一元製薬（株）,520C00A01197,第2類,
,一元乃錠剤釣藤散,一元製薬（株）,520C00A01002,第2類,
,一元乃錠剤麻黄湯,一元製薬（株）,520C00A01152,第2類,
,一元乃錠剤抑肝散,一元製薬（株）,520C00A00498,第2類,
,黄解A錠,一元製薬（株）,520C00A00092,第2類,
,黄解B錠,一元製薬（株）,520C00A00093,第2類,
,還精,一元製薬（株）,520C00A00104,第2類,
,錠剤安中散,一元製薬（株）,520C00A00118,第2類,
,錠剤茵ちん蒿湯,一元製薬（株）,520C00A00136,第2類,
,錠剤温経湯,一元製薬（株）,520C00A00101,第2類,
,錠剤温清飲,一元製薬（株）,520C00A00134,第2類,
,錠剤越婢加朮湯,一元製薬（株）,520C00A00135,第2類,
,錠剤葛根湯,一元製薬（株）,520C00A00111,第2類,
,錠剤加味逍遙散,一元製薬（株）,520C00A00114,第2類,
,錠剤きゅう帰膠艾湯,一元製薬（株）,520C00A00148,第2類,
,錠剤桂枝加龍牡湯,一元製薬（株）,520C00A00129,第2類,
,錠剤桂枝湯,一元製薬（株）,520C00A00125,第2類,
,錠剤桂枝茯苓丸,一元製薬（株）,520C00A00098,第2類,
,錠剤香蘇散,一元製薬（株）,520C00A00144,第2類,
,錠剤五積散,一元製薬（株）,520C00A00127,第2類,
,錠剤五苓散,一元製薬（株）,520C00A00109,第2類,
,錠剤柴胡加竜骨牡蠣湯,一元製薬（株）,520C00A00122,第2類,
,錠剤柴胡桂枝乾姜湯,一元製薬（株）,520C00A00124,第2類,
,錠剤柴胡桂枝湯,一元製薬（株）,520C00A00097,第2類,
,錠剤柴胡清肝散,一元製薬（株）,520C00A00132,第2類,
,錠剤四物湯,一元製薬（株）,520C00A00107,第2類,
,錠剤芍薬甘草湯,一元製薬（株）,520C00A00119,第2類,
,錠剤小建中湯,一元製薬（株）,520C00A00121,第2類,
,錠剤小柴胡湯,一元製薬（株）,520C00A00095,第2類,
,錠剤小青竜湯,一元製薬（株）,520C00A00108,第2類,
,錠剤消風散,一元製薬（株）,520C00A00133,第2類,
,錠剤鍼砂湯,一元製薬（株）,520C00A00147,第2類,
,錠剤十全大補湯,一元製薬（株）,520C00A00143,第2類,
,錠剤十味敗毒湯,一元製薬（株）,520C00A00116,第2類,
,錠剤清上防風湯,一元製薬（株）,520C00A00131,第2類,
,錠剤大黄牡丹皮湯,一元製薬（株）,520C00A00146,第2類,
,錠剤大柴胡湯,一元製薬（株）,520C00A00096,第2類,
,錠剤猪苓湯,一元製薬（株）,520C00A00115,第2類,
,錠剤桃核承気湯,一元製薬（株）,520C00A00103,第2類,
,錠剤当帰四逆加呉生姜湯,一元製薬（株）,520C00A00123,第2類,
,錠剤当芍散,一元製薬（株）,520C00A00090,第2類,
,錠剤人参湯,一元製薬（株）,520C00A00120,第2類,
,錠剤半夏厚朴湯,一元製薬（株）,520C00A00117,第2類,
,錠剤半夏しゃ心湯,一元製薬（株）,520C00A00094,第2類,
,錠剤麦門冬湯,一元製薬（株）,520C00A00145,第2類,
,錠剤茯苓飲,一元製薬（株）,520C00A00099,第2類,
,錠剤平胃散,一元製薬（株）,520C00A00126,第2類,
,錠剤補中益気湯,一元製薬（株）,520C00A00113,第2類,
,錠剤防已黄耆湯,一元製薬（株）,520C00A00130,第2類,
,錠剤防風通聖散,一元製薬（株）,520C00A00110,第2類,
,錠剤六君子湯,一元製薬（株）,520C00A00128,第2類,
,錠剤苓姜朮甘湯,一元製薬（株）,520C00A00142,第2類,
,錠剤苓桂朮甘湯,一元製薬（株）,520C00A00102,第2類,
,大黄錠,一元製薬（株）,510C00A00140,第2類,
,ノンパースA（錠剤葛根湯加辛夷川きゅう）,一元製薬（株）,520C00A00137,第2類,
,ノンパースB（錠剤荊芥連翹湯）,一元製薬（株）,520C00A00138,第2類,
,ノンパースD（錠剤辛夷清肺湯）,一元製薬（株）,520C00A00139,第2類,
,ハトムギ錠,一元製薬（株）,510C00A00141,第3類,
,補益,一元製薬（株）,520C00A00085,第2類,
,イチジク浣腸10,イチジク製薬（株）,235M00A10053,第2類,
,イチジク浣腸20,イチジク製薬（株）,235M00A10054,第2類,
,イチジク浣腸30,イチジク製薬（株）,235M00A10046,第2類,
,イチジク浣腸30E,イチジク製薬（株）,235M00A10013,第2類,
,イチジク浣腸40,イチジク製薬（株）,235M00A00077,第2類,
,イチジク浣腸40E,イチジク製薬（株）,235M00A10086,第2類,
,イチジク浣腸ジャバラ,イチジク製薬（株）,235M00A00015,第2類,
,リセッチ,イチジク製薬（株）,235M02A10010,第2類,
,センナ錠I,井藤漢方製薬（株）,235C00A00056,指定第2類,
,ハーベルシーS,井藤漢方製薬（株）,2227APX10014,指定第2類,
,カンテン末　かんてんぱぱの寒天粉末,伊那食品工業（株）,5100041A1018,第3類,
,黄参活寿内服液,犬伏製薬（株）,317E01A01088,第3類,
,活寿内服液,犬伏製薬（株）,317E00A00272,第3類,
,敬震S,犬伏製薬（株）,211D00A01568,第2類,
,敬震丹,犬伏製薬（株）,211C00A01660,第2類,
,壮寿元,犬伏製薬（株）,211C00A01361,第2類,
,ユイマリンシロップ小児用,犬伏製薬（株）,118E04A10001,第2類,
,ユガトスV内服液,犬伏製薬（株）,317E00A00862,第3類,
,ユガトスカプセルS,犬伏製薬（株）,118D02A10001,指定第2類,
,レイドミン内服液,犬伏製薬（株）,317E00A00625,第2類,
,アスコルビン酸錠500「イワキ」,岩城製薬（株）,314C00A00182,第3類,
,エンクロンクリームEX,岩城製薬（株）,264N00A10227,指定第2類,
,エンクロン軟膏EX,岩城製薬（株）,264N00A10226,指定第2類,
,エンクロンローションEX,岩城製薬（株）,264M00A00669,指定第2類,
,スリーペイド,岩城製薬（株）,122C00A00388,指定第2類,
,ネオヨジンうがいぐすり,岩城製薬（株）,226M00A00444,第3類,
,ハピトップうがい薬,岩城製薬（株）,226M00A00078,第3類,
,ビタミンC「イワキ」,岩城製薬（株）,314A00A01233,第3類,
,ビタミンC錠500「イワキ」,岩城製薬（株）,314C00A00183,第3類,
,オーロラ-S,ヴィタリス製薬（株）,247M00A03818,指定第2類,
,オットピン-S,ヴィタリス製薬（株）,246N00A03817,第1類,
,外用ホルモン塗布剤オットピン,ヴィタリス製薬（株）,246M00A03819,第1類,
,野中烏犀圓,ウサイエン製薬（株）,329Z00A04322,第3類,
,アイルビー・40E,牛津製薬（株）,131M00A00001,第3類,
,アイルビーAL,牛津製薬（株）,131M04A00002,第2類,
,アイルビークール,牛津製薬（株）,131M04A00001,第3類,
,アイルビー・ローズ,牛津製薬（株）,131M00A02410,第2類,
,アイルビーロイヤル,牛津製薬（株）,131M21A10001,第3類,
,アンメルシンコンドロパワー錠,牛津製薬（株）,312C01A10001,第3類,
,インナーホワイト,牛津製薬（株）,314B00A10005,第3類,
,ウエルボーン・B錠,牛津製薬（株）,312C00A00870,第3類,
,エマフラシンシロップ,牛津製薬（株）,313E00A00004,第3類,
,グルコロイチンV,牛津製薬（株）,312C00A10004,第3類,
,こどもレジャール液,牛津製薬（株）,133E00A00703,第2類,
,こどもレバコール,牛津製薬（株）,317E01A00350,第3類,
,コンドロイチンB1顆粒,牛津製薬（株）,312B00A00009,第3類,
,紫香,牛津製薬（株）,231B00A00690,第2類,
,新アイルビー,牛津製薬（株）,131M00A02462,第2類,
,新サルファ・ルビー,牛津製薬（株）,131M00A00960,第2類,
,セダックス錠,牛津製薬（株）,114C00A00660,指定第2類,
,バイオレット・アイ,牛津製薬（株）,131M03A00001,第3類,
,ビボーン・C,牛津製薬（株）,314B00A00003,第3類,
,ビボーン・C1500,牛津製薬（株）,314B00A00858,第3類,
,れいめいしん,牛津製薬（株）,211C00A00856,第2類,
,れいめいしん液,牛津製薬（株）,397E00A01415,第2類,
,レジャール液,牛津製薬（株）,133E00A00386,第2類,
,レジャール錠,牛津製薬（株）,133C00A01132,指定第2類,
,レジャール錠チュアブル,牛津製薬（株）,133C01A00005,第2類,
,レバコール,牛津製薬（株）,317E00A00674,第2類,
,レバコール100,牛津製薬（株）,397E00A00027,第3類,
,レバコール・S,牛津製薬（株）,397E00A00671,第2類,
,レバコール・ファイト,牛津製薬（株）,329C00A00285,第3類,
,レバコール・ロイヤル,牛津製薬（株）,317E00A00502,第2類,
,レバコールロイヤル・S,牛津製薬（株）,317E00A00316,第2類,
,ローズ・アイルビー,牛津製薬（株）,131M00A00010,第3類,
,後藤散,うすき製薬（株）,114B00A00289,指定第2類,
,後藤散いたみどめ顆粒,うすき製薬（株）,114B03A00001,指定第2類,
,後藤散かぜ薬顆粒,うすき製薬（株）,118B02A00001,指定第2類,
,後藤散せきどめ,うすき製薬（株）,224B00A00478,指定第2類,
,安神涼肝散,（株）ウチダ和漢薬,590D00A00392,第3類,
,ウチダの安中散,（株）ウチダ和漢薬,520B00A00373,第2類,
,ウチダの安中散料エキス散,（株）ウチダ和漢薬,520B00A01108,第2類,
,ウチダの茵ちん蒿湯,（株）ウチダ和漢薬,520G00A00654,第2類,
,ウチダの茵ちん五苓湯,（株）ウチダ和漢薬,520G00A00950,第2類,
,ウチダのウワウルシ,（株）ウチダ和漢薬,510G00A03140,第2類,
